$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ
7,200,0.4,0.47,1.66,-324.179,-149.626,6,-323.902,-149.918,6
40,200,0.3,0.45,1.56,-336.028,-163.537,6,-335.82,-163.753,6
41,200,0.33,0.47,1.69,-331.469,-115.944,1,-331.603,-116.245,1
43,200,0.35,0.44,1.67,-322.269,-156.963,6,-322.585,-157.103,6
47,200,0.36,0.44,1.68,-322.009,-151.195,6,-321.801,-151.486,6
51,100,0.44,0.56,1.66,-323.455,-150.37,6,-323.125,-150.658,6
52,200,0.31,0.44,1.65,-337.557,-163.113,6,-337.722,-163.374,6
55,200,0.32,0.48,1.69,-331.895,-116.694,1,-331.884,-117.017,1
56,200,0.4,0.49,1.78,-332.428,-121.906,1.6,-332.43,-122.309,1.6
57,200,0.41,0.49,1.74,-332.426,-120.773,1.3,-332.427,-121.181,1.3
58,200,0.32,0.47,1.59,-332.854,-126.338,2.5,-332.863,-126.662,2.5
60,200,0.31,0.47,1.54,-332.586,-135.106,4,-332.578,-135.418,4
61,100,0.41,0.65,1.58,-332.442,-122.858,1.85,-332.408,-123.27,1.85
62,200,0.35,0.46,1.64,-334.155,-161.819,6,-334.474,-161.958,6
63,100,0.46,0.55,1.91,-332.792,-127.077,2.5,-332.808,-127.535,2.5
64,100,0.41,0.59,1.65,-323.139,-151.635,6,-322.832,-151.912,6
65,100,0.4,0.65,1.77,-335.545,-163.775,6,-335.175,-163.923,6
66,100,0.42,0.61,1.92,-323.993,-157.08,6,-324.405,-157.184,6
67,100,0.42,0.62,1.63,-335.87,-164.678,6,-336.121,-164.343,6
68,200,0.42,0.5,1.74,-335.423,-164.422,6,-335.139,-164.726,6
69,100,0.46,0.6,1.89,-337.836,-163.987,6,-338.207,-164.253,6
70,200,0.35,0.46,1.63,-336.643,-162.551,6,-336.881,-162.813,6
71,100,0.42,0.63,1.72,-322.443,-157.579,6,-322.843,-157.71,6
72,100,0.44,0.61,1.83,-331.224,-159.717,6,-331.643,-159.853,6
73,200,0.35,0.46,1.64,-336.84,-163.637,6,-337.074,-163.893,6
74,200,0.34,0.53,1.82,-338.252,-162.754,6,-338.312,-163.092,6
75,100,0.46,0.58,1.83,-338.131,-164.547,6,-338.556,-164.718,6
76,200,0.36,0.51,1.77,-336.609,-164.562,6,-336.722,-164.218,6
77,200,0.34,0.44,1.6,-339.163,-163.315,6,-339.496,-163.264,6
78,200,0.32,0.44,1.54,-342.415,-164.228,6,-342.727,-164.291,6
79,200,0.33,0.44,1.55,-338.957,-164.331,6,-339.229,-164.523,6
80,200,0.38,0.51,1.68,-340.985,-163.793,6,-341.354,-163.866,6
81,200,0.37,0.51,1.79,-338.569,-163.291,6,-338.926,-163.376,6
82,100,0.43,0.58,1.89,-337.193,-164.114,6,-337.55,-164.361,6
83,200,0.32,0.47,1.67,-349.742,-166.949,6,-350.058,-166.919,6
84,100,0.44,0.59,1.83,-338.364,-163.637,6,-338.733,-163.87,6
85,100,0.41,0.6,1.66,-352.606,-166.63,6,-353.007,-166.572,6
86,100,0.46,0.55,1.75,-350.349,-166.6,6,-350.809,-166.535,6
87,200,0.3,0.46,1.64,-355.623,-167.221,6,-355.835,-167.427,6
88,200,0.31,0.47,1.65,-365.139,-167.602,6,-365.408,-167.76,6
89,200,0.31,0.45,1.65,-362.642,-170.736,6,-362.947,-170.814,6
90,100,0.47,0.57,1.7,-356.04,-167.743,6,-356.344,-168.107,6
91,100,0.4,0.66,1.8,-357.019,-168.841,6,-357.294,-169.138,6
92,100,0.42,0.62,1.75,-372.133,-172.949,6,-372.544,-172.848,6
93,200,0.37,0.49,1.64,-380.139,-168.301,6,-380.499,-168.221,6
94,200,0.34,0.44,1.49,-377.991,-169.237,6,-378.249,-169.021,6
95,100,0.43,0.62,1.63,-376.785,-170.231,6,-377.137,-169.986,6
