$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,SIMSEC
1,200,0.35,0.49,1.6,-368.686,-171.502,6,-368.966,-171.71,6,1,20
1,200,0.35,0.49,1.6,-368.235,-171.178,6,-368.52,-171.38,6,1,20.5
1,200,0.35,0.49,1.6,-367.765,-170.883,6,-368.064,-171.064,6,1,21
1,200,0.35,0.49,1.6,-367.263,-170.65,6,-367.585,-170.788,6,1,21.5
1,200,0.35,0.49,1.6,-366.725,-170.539,6,-367.07,-170.595,6,1,22
1,200,0.35,0.49,1.6,-366.177,-170.559,6,-366.527,-170.541,6,1,22.5
1,200,0.35,0.49,1.6,-365.637,-170.663,6,-365.979,-170.589,6,1,23
1,200,0.35,0.49,1.6,-364.558,-170.904,6,-364.903,-170.842,6,1,24
1,200,0.35,0.49,1.6,-363.454,-170.94,6,-363.803,-170.957,6,1,25
1,200,0.35,0.49,1.6,-362.378,-170.689,6,-362.715,-170.78,6,1,26
1,200,0.35,0.49,1.6,-360.177,-170.479,6,-360.527,-170.493,6,1,28
1,200,0.35,0.49,1.6,-358.129,-169.712,6,-358.415,-169.913,6,1,30
1,200,0.35,0.49,1.6,-356.427,-168.041,6,-356.672,-168.291,6,1,32.1
1,200,0.35,0.49,1.6,-354.72,-166.704,6,-355.04,-166.843,6,1,34
1,200,0.35,0.49,1.6,-352.441,-166.618,6,-352.789,-166.58,6,1,36
1,200,0.35,0.49,1.6,-352.441,-166.618,6,-352.789,-166.58,6,1,36
1,200,0.35,0.49,1.6,-347.852,-166.979,6,-348.201,-167.002,6,1,40
1,200,0.35,0.49,1.6,-345.761,-166.056,6,-346.042,-166.265,6,1,42
1,200,0.35,0.49,1.6,-343.898,-164.706,6,-344.212,-164.86,6,1,44
1,200,0.35,0.49,1.6,-341.646,-164.262,6,-341.993,-164.301,6,1,46
1,200,0.35,0.49,1.6,-337.076,-163.74,6,-337.414,-163.829,6,1,50
1,200,0.35,0.49,1.6,-332.011,-161.018,6,-332.331,-161.159,6,1,55
1,200,0.35,0.49,1.6,-327.022,-158.61,6,-327.341,-158.754,6,1,60
1,200,0.35,0.49,1.6,-321.102,-152.821,6,-320.906,-153.111,6,1,70
1,200,0.35,0.49,1.6,-328.973,-144.913,6,-328.728,-145.163,6,1,80
1,200,0.35,0.49,1.6,-332.598,-135.397,4,-332.552,-135.744,4,1,90.2
2,100,0.47,0.55,1.8,-370.358,-172.669,6,-370.801,-172.832,6,1,20
2,100,0.47,0.55,1.8,-369.869,-172.42,6,-370.289,-172.636,6,1,20.5
2,100,0.47,0.55,1.8,-369.421,-172.112,6,-369.812,-172.377,6,1,21
2,100,0.47,0.55,1.8,-368.995,-171.779,6,-369.369,-172.067,6,1,21.5
2,100,0.47,0.55,1.8,-368.572,-171.433,6,-368.939,-171.73,6,1,22
2,100,0.47,0.55,1.8,-368.136,-171.086,6,-368.506,-171.378,6,1,22.5
2,100,0.47,0.55,1.8,-367.679,-170.762,6,-368.064,-171.033,6,1,23
2,100,0.47,0.55,1.8,-366.695,-170.21,6,-367.105,-170.444,6,1,24
2,100,0.47,0.55,1.8,-366.039,-169.371,6,-366.227,-169.804,6,1,25
2,100,0.47,0.55,1.8,-365.641,-168.344,6,-365.837,-168.773,6,1,26
2,100,0.47,0.55,1.8,-363.841,-167.181,6,-364.302,-167.278,6,1,28
2,100,0.47,0.55,1.8,-361.631,-167.357,6,-362.103,-167.362,6,1,30
2,100,0.47,0.55,1.8,-359.445,-166.782,6,-359.896,-166.92,6,1,32.1
2,100,0.47,0.55,1.8,-357.493,-166.508,6,-357.963,-166.55,6,1,34
2,100,0.47,0.55,1.8,-355.436,-166.369,6,-355.907,-166.39,6,1,36
2,100,0.47,0.55,1.8,-351.236,-166.669,6,-351.702,-166.602,6,1,40
2,100,0.47,0.55,1.8,-349.115,-166.954,6,-349.582,-166.886,6,1,42
2,100,0.47,0.55,1.8,-346.986,-166.809,6,-347.438,-166.944,6,1,44
2,100,0.47,0.55,1.8,-345.277,-165.579,6,-345.612,-165.911,6,1,46
2,100,0.47,0.55,1.8,-341.273,-164.191,6,-341.741,-164.248,6,1,50
2,100,0.47,0.55,1.8,-335.977,-163.196,0,-336.367,-163.461,0,1,55
2,100,0.47,0.55,1.8,-331.021,-160.608,6,-331.455,-160.792,6,1,60
2,100,0.47,0.55,1.8,-321.226,-156.624,6,-321.675,-156.768,6,1,70
2,100,0.47,0.55,1.8,-325.536,-148.368,6,-325.185,-148.682,6,1,80
2,100,0.47,0.55,1.8,-331.466,-139.894,4.933,-331.312,-140.34,4.933,1,90.2
